baseline_test,np4_test,baseline_status,baseline_time_s,np4_status,np4_time_s,delta_s,ratio_np4_over_np1,np4_failure_reason
ogs-SteadyStateDiffusion_square_1x1_1e0-mpirun,ogs-SteadyStateDiffusion_square_1x1_1e0-mpirun-np4,PASS,0.163154,FAIL,0.170209,0.007055,1.043241,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_1e0-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_1e0-mpirun-np4-vtkdiff,PASS,0.025316,FAIL,0.024776,-0.000540,0.978673,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_1e1-mpirun,ogs-SteadyStateDiffusion_square_1x1_1e1-mpirun-np4,PASS,0.158919,FAIL,0.173752,0.014833,1.093337,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_1e1-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_1e1-mpirun-np4-vtkdiff,PASS,0.025476,FAIL,0.023417,-0.002059,0.919175,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_1e2-mpirun,ogs-SteadyStateDiffusion_square_1x1_1e2-mpirun-np4,PASS,0.161902,FAIL,0.175575,0.013673,1.084452,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_1e2-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_1e2-mpirun-np4-vtkdiff,PASS,0.024694,FAIL,0.022306,-0.002388,0.903292,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_1e3-mpirun,ogs-SteadyStateDiffusion_square_1x1_1e3-mpirun-np4,PASS,0.169111,FAIL,0.180345,0.011234,1.066430,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_1e3-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_1e3-mpirun-np4-vtkdiff,PASS,0.026011,FAIL,0.020052,-0.005959,0.770898,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_1e4-mpirun,ogs-SteadyStateDiffusion_square_1x1_1e4-mpirun-np4,PASS,0.242989,FAIL,0.165922,-0.077067,0.682837,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_1e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_1e4-mpirun-np4-vtkdiff,PASS,0.031917,FAIL,0.024800,-0.007117,0.777021,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e0-mpirun,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e0-mpirun-np4,PASS,0.158965,FAIL,0.174330,0.015365,1.096656,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e0-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e0-mpirun-np4-vtkdiff,PASS,0.024836,FAIL,0.024486,-0.000350,0.985892,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e1-mpirun,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e1-mpirun-np4,PASS,0.163624,FAIL,0.171693,0.008069,1.049314,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e1-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e1-mpirun-np4-vtkdiff,PASS,0.023992,FAIL,0.024272,0.000280,1.011675,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e2-mpirun,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e2-mpirun-np4,PASS,0.164442,FAIL,0.195086,0.030644,1.186351,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e2-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e2-mpirun-np4-vtkdiff,PASS,0.024653,FAIL,0.020970,-0.003682,0.850625,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e3-mpirun,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e3-mpirun-np4,PASS,0.169103,FAIL,0.197016,0.027913,1.165065,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e3-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e3-mpirun-np4-vtkdiff,PASS,0.025242,FAIL,0.020128,-0.005114,0.797409,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e4-mpirun,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e4-mpirun-np4,PASS,0.227634,FAIL,0.171789,-0.055845,0.754672,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_square_1x1_Neumann_1e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_square_1x1_Neumann_1e4-mpirun-np4-vtkdiff,PASS,0.032808,FAIL,0.024551,-0.008257,0.748327,missing np4 result file for vtkdiff
